"menuitemid","catid","itemname","description","sequenceorder","allowperorder","minperorder","is_special","availabilitydays","timeofday","itempicture","status","pos_name","availability_for_del_pick","available_time_from","available_time_to","available_date_to","available_date_from","allow_special_instructions","visible_type","available_type","day_or_date_range_avail","day_or_date_range_visible"
34135,5655,"Chicken Carbonara","Grilled 100% all white meat chicken, bacon, onions and mushrooms mixed with penne pasta and baked to perfection with a creamy alfredo sauce. &#8232;",3,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34136,5655,"Pasta Primavera","Fresh spinach, diced tomatoes, mushrooms and onions mixed with penne pasta and baked with a creamy alfredo sauce. &#8232;",4,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34517,5696,"The New Yorker Pizza","Ricotta cheese, garlic and tomatoes.&#8232;",27,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34520,5696,"Moussakka Style Pizza","Layers of eggplant and meatballs, marinara sauce, extra cheese.&#8232;",14,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34524,5696,"Italian Pizza","Ham, Genoa salami, pepperoni, mortadella, roasted peppers and hot peppers.&#8232;",30,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34525,5696,"Couch Potato Pizza","Mashed potatoes, pizza cheese, yellow cheddar, bacon or broccoli (sour cream on the side).&#8232;",31,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34527,5696,"Pesto Pizza","Pesto and tomatoes.&#8232;",11,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34530,5696,"Special Pizza","Pepperoni, meatball, sausage, green peppers, onions, mushrooms and black olives.&#8232;",15,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34533,5696,"Big Mack Pizza","Thousand Island dressing, sliced meatballs, chopped pickles and chopped onions.&#8232;",18,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34535,5696,"Meat Lovers Pizza","Meatball, sausage, pepperoni and ricotta cheese. &#8232;",26,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34536,5696,"Z-28 Pizza","Parmesan cheese, white sauce, grilled chicken, roasted red peppers and hot peppers.&#8232;",25,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34537,5696,"Cattleman Pizza","BBQ chicken, bacon and onions. &#8232;",19,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34541,5696,"Primavera Pizza","Red onions, roasted red peppers, artichoke hearts, black olives and gorgonzola cheese. &#8232;",20,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34543,5696,"Stuffed Pizza","Grilled chicken, spinach, ham, garlic and feat (topped with another dough).&#8232;",36,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34546,5696,"Firehouse Pizza","Extra thick crust, hot peppers, garlic, peppers, onions, pepperoni and sausage.&#8232;",21,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34549,5696,"Taco Pizza","Cheese sauce, taco meat, finished with cold lettuce and tomato, jalapenos optional (sour cream on the side)&#8232;",23,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34551,5696,"Buffalo G Pizza","Stuffed pizza with bleu cheese dressing, American and mozzarella cheese, buffalo chicken with a crust topped with garlic butter, herbs and spices. &#8232;",34,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34554,5696,"Philly Cheese Steak Pizza","Cheese sauce, sauteed steak, mushrooms, onions, roasted red peppers, hot peppers. &#8232;",35,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34557,5696,"911 Turbo Pizza - hidden","Extra thick crust, steak, bacon, ham, pepperoni, sausage and extra cheese and hot peppers.&#8232;",38,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"NEVER","NEVER",0,0
34559,5696,"Shrimp Scampi Pizza - hidden","Garlic butter sauce, romano, tomato, artichoke hearts, shrimp and a touch of broccoli. &#8232;	&#8232;",37,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"NEVER","NEVER",0,0
34638,5728,"The New Yorker","Ricotta cheese, garlic and tomatoes.&#8232;",16,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34642,5728,"Moussakka Style","Layers of eggplant and meatballs, marinara sauce, extra cheese.&#8232;",20,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34643,5728,"Italian","Ham, Genoa salami, pepperoni, mortadella, roasted peppers and hot peppers.&#8232;",21,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34651,5728,"Couch Potato","Mashed potatoes, pizza cheese, yellow cheddar, bacon or broccoli (sour cream on the side).&#8232;",22,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34652,5728,"Pesto","Pesto and tomatoes.&#8232;",14,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34653,5728,"Special","Pepperoni, meatball, sausage, green peppers, onions, mushrooms and black olives.&#8232;",23,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34654,5728,"Big Mack","Thousand Island dressing, sliced meatballs, chopped pickles and chopped onions.&#8232;",24,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34656,5728,"Meat Lovers","Meatball, sausage, pepperoni and ricotta cheese. &#8232;",15,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34657,5728,"Z-28","Parmesan, white sauce, grilled chicken, roasted red peppers and hot peppers.&#8232;",7,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34672,5728,"Firehouse","Extra thick crust, hot peppers, garlic, peppers, onions, pepperoni and sausage.&#8232;",29,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34676,5728,"Buffalo G","Stuffed pizza with bleu cheese dressing, American and mozzarella cheese, buffalo chicken with a crust topped with garlic butter, herbs and spices. &#8232;",34,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34679,5728,"911 Turbo","Extra thick crust, steak, bacon, ham, pepperoni, sausage and extra cheese and hot peppers.&#8232;",33,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
34680,5728,"Shrimp Scampi_HIDDEN ","Garlic butter sauce, romano, tomato, artichoke hearts, shrimp and a touch of broccoli. &#8232; &#8232;",36,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"NEVER","NEVER",0,0
246384,36656,"Rice Cake - &#46497;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
244523,31219,"&#37240;&#33756;&#25490;&#39592;&#28271;","",8,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
399854,58927,"Sprite &#38634;&#30887;","",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
46724,7439,"Salty Plum Drink","&#37240;&#26757;&#27700;",1,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
47523,7164,"Party B (save $13.5)","2 California Roll, 1 Spicy Yellowtail Roll,
1 Eel Roll, 1 Cucumber  Roll, 1 Tuna Roll,
1 Salmon Roll, 1 Futomaki&#65279;",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
47524,7164,"Party C (save $20)","14 Pcs. Sushi, 1 Eel Roll, 1 Tuna Roll,
1 Salmon Roll, 1 California Roll&#65279;",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
47525,7164,"Party D (save$21)","10 Pcs. Sushi, 18 Pcs. Sashimi, 1 Eel Roll,
1 California Roll &#65279;",4,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
289752,42890,"Ccoconut Bubble Tea &#29645;&#29664;&#26928;&#23376;","",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353574,52316,"Soy Chicken on Rice&#35913;&#27833;&#38622;&#39151;","",4,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353575,52316,"Chicken w. Scallion Sauce on Rice&#34085;&#27833;&#38622;&#39151;","",5,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
317414,47177,"TAZO CHAI PUMPKIN SPICE LATTE &#26612;&#21335;&#29916;&#25343;&#38081;","",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
354878,52324,"Beef Chow Fun &#24178;&#28818;&#29275;&#27827;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
354879,52324,"Singapore Mai Fun &#26143;&#24030;&#28818;&#31859;","",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
354855,52333,"13.	Scallion Bolani &#28900;&#34085;&#21253;","Crispy turnover pastry stuffed with scallion",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
354856,52333,"14. Potato Bolani &#28900;&#22303;&#35910;&#21253;","Crispy turnover pastry stuffed with potato",4,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
423511,62134,"Spicy Squid over rice &#50724;&#51669;&#50612;&#45934;&#48165;","spicy squid over rice",10,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
270324,40306,"12. Vegetable Tempura &#33756;&#29980;&#19981;&#36771;","",12,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
423436,62132,"Edamame&#50528;&#45796;&#47560;&#47588;","boiled green bean",5,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
293163,42888,"SHREDDED ICE &#21032;&#20912;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
293164,42900,"STRAWBERRY+BLUEBERRY PARFAIT &#33609;&#33683;&#34013;&#33683;&#37240;&#22902;","",6,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
463367,67591," &#37329;&#37002;&#31935;&#26781;/&#27827;&#31881;/&#34507;&#40634;/&#31859;&#31881;","",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
72392,11562,"Tom Yum Soup (Shrimp) SMALL &#36889;&#20677;&#20677;&#26159;&#30475;&#23427;&#26159;&#21542;&#26371;","Famous spicy soup of lemon grass, chili paste, lime and mushrooms.",1,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353581,52316,"Three Combinations on Rice &#19977;&#23542;&#39151;","",11,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353582,52317,"Vegetable Noodles w. Oyster Sauce &#33756;&#36960;&#27833;&#25736;&#40629;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
416197,60198,"&#24773;&#20406;B&#22871;&#39184; &#29275;&#34521;+&#38622;&#32709;","&#24773;&#20406;B&#22871;&#39184; (&#20841;&#20154;&#20998;) &#36865;&#20919;&#33756;(&#28900;&#40617;+&#28023;&#24118;) &#29275;&#34521;+&#38622;&#32709;	Couple Meal B (for 2)Bullfrog & Chicken Wings Includes Free Cold Vegetable Side Dish Bran Puff & Seaweed ",27,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
78684,12432,"&#22871;&#39184;","&#36319;&#21449;&#29138;&#28818;&#39151;&#65292;&#34507;&#28818;&#39151;&#65292;&#30333;&#39151;&#25110;&#33756;&#25736;&#40629;",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
78685,12432,"&#25562;&#24030;&#28818;&#39151;","",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
280582,12432,"&#23567;&#39135;/&#29980;&#21697;&#39006;","",8,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
78686,12432,"&#34507;&#28818;&#39151;","",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
78687,12432,"&#39151;&#40629;&#39006;","",4,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
78688,12432,"&#29980;&#21697;","",5,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
78690,12432,"&#26143;&#26399;&#20845;/&#26143;&#26399;&#26085;&#29305;&#39184;","&#26089;&#19978;11:30&#33267;&#19979;&#21320;2:30",7,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","sat,sun","11:30:00","14:30:00",NULL,NULL,1,"ALWAYS","SPECIFIC",0,0
294896,43847,"22) &#37941;&#37707;&#39770; Fragrant Spicy Fish ","Take 20mins to prepare, &#38920;&#31561;20&#20998;&#37912;",8,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81024,12773,"Memphis BBQ Chicken Pizza","Made with tender cuts of chicken breast, BBQ sauce and onions with provolone, mozzarella and cheddar cheeses on a cheesy cheddar crust. &#8232;",8,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81026,12774,"ExtravaganZZa Feast Pizza","Loads of pepperoni, ham, italian sausage, beef, onions, green peppers, mushrooms and black olives topped with an extra layer of cheese.&#8232;",4,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81027,12774,"Deluxe Feast Pizza","A mouth watering combination of spicy pepperoni, italian sausage, green peppers, mushrooms, onions and cheese.&#8232;",3,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81028,12774,"Ultimate Pepperoni Feast Pizza","Made with two layers of pepperoni sandwiched between parmesan, provolone and mozzarella cheeses with oregano. &#8232;",6,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81029,12774,"MeatZZa Feast Pizza","Slice after slice of pepperoni, ham, italian sausage and beef topped with an extra layer of cheese.&#8232;",5,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81039,12776,"Chicken Carbonara","Grilled 100% all white meat chicken, bacon, onions and mushrooms mixed with penne pasta and baked to perfection with a creamy alfredo sauce. &#8232;",3,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81040,12776,"Pasta Primavera","Fresh spinach, diced tomatoes, mushrooms and onions mixed with penne pasta and baked with a creamy alfredo sauce. &#8232;",5,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
176297,26524,"Roasted Fingerling Potato with Bacon and Cheddar, Topped with Creme Fraiche and Caviar&#8232;","",27,0,12,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
176659,26558,"Roasted Fingerling Potato with Bacon and Cheddar, Topped with Creme Fraiche and Caviar&#8232;","",27,0,12,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353578,52316,"Two Combinations on Rice &#38617;&#25340;&#39151;","",8,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353579,52316,"Soy Sauce Chicken Leg on Rice &#38622;&#33086;&#39151;","",9,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353616,52317,"Two Combination Noodles &#38617;&#25340;&#25736;&#40629;","",10,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
353614,52317,"Beef Stew Noodles&#29275;&#33129;&#25736;&#40629;","",9,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
394575,57905,"YUPGI KIMBAP &#47560;&#50557;&#44608;&#48165;","Made From Steamed Rice with Yellow Radish, Carrot and smoked ham rolled in dried seaweed",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
270323,40306,"11. Chicken Tempura &#38622;&#29980;&#19981;&#36771;","",11,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
311902,45948,"Sushi Sashimi Combination&#22781;&#21496;&&#29983;&#39770;&#29255;&#22871;&#39184;","4 pcs Sushi, 8pcs. Sashimi & 1 Regular Roll",8,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
311901,45948,"Eel Sushi Combination&#39995;&#39770;&#22871;&#39184;","5 pcs. Eel Sushi & 1 Eel Avocado Roll",7,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
311899,45948,"Sashimi Combo Regular &#29983;&#39770;&#29255;&#22871;&#39184;","8 pcs. Assorted Sashimi",5,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
311900,45948,"Sashimi Combo Deluxe  &#35946;&#33775;&#29256;&#29983;&#39770;&#29255;&#22871;&#39184;","15 pcs. Assorted Sashimi",6,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
419565,61538,"&#53960;&#49352;&#46972;&#47732;&#44284; &#48520;&#44256;&#44592;&#44608;&#48165;","TEUMSAE 
RAMEN ANDBULGOGI KIMBAP <br/>
&#53960;&#49352;&#46972;&#47732;&#44284; &#48520;&#44256;&#44592;&#44608;&#48165; <br/>
extra spicy ramen served with Korean style roll
with bulgogi",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"NEVER","NEVER",0,0
299588,44414,"Pineapple Fried Rice &#27888;&#24335;&#33760;&#34367;&#28818;&#39151;","With Raisin, Chciken, Shrimp, Egg, Onion Peas",4,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
312542,45941,"Philadelphia Roll &#36027;&#25104;&#21367;","",8,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
312541,45941,"Alaskan Roll &#38463;&#25289;&#26031;&#21152;&#21367;","",7,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
312540,45941,"Yellowtail Jalapeno Roll	&#40643;&#23614;&#39770;&#21367;","",6,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
312539,45941,"Salmon Avocado Roll	&#19977;&#25991;&#22902;&#27833;&#26524;&#21367;","",5,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
312538,45941,"Tuna Avocado Roll	&#21534;&#25343;&#22902;&#27833;&#26524;&#21367;","",4,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
312537,45941,"California Roll 	&#21152;&#24030;&#21367;","",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
310093,46090,"Lunch Bento Box &#21320;&#39184;&#20415;&#30070;&#30418;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
374790,29006,"51) &#39770;&#34507;& &#29275;&#20024;&#12288;&#31935;&#26781;/&#27827;&#31881;/&#34507;&#40634;","Fish Ball & Beef Ball Noodle Soup",14,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
433545,63819," V06 &#33948;&#33592;&#28818;&#36890;&#33756; Sauteed Water Spinach with Garlic SP $_______","Seasonal Price &#23395;&#31680;&#20729;",6,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
289753,42891,"MANGO TEA &#33426;&#26524;&#33590;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
289754,42891,"PASSION FRUIT BLACK TEA &#30334;&#39321;&#26524;&#32418;&#33590;","",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
289755,42891,"PASSION FRUIT GREEN TEA &#30334;&#39321;&#26524;&#32511;&#33590;","",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
251041,37342,"167. &#38634;&#33756;&#32905;&#32114;&#28271;&#40629;/&#31859;&#31881;","Noodle w. Persevered Veggie & Shredded Pork",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
